"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_POPUP_SPEED_UP_BOOSTER_CONSTRUCTION_SLOWDOWN","Construction of <item> is slowing down army training. Do you want to finish it now with <booster>?","يؤدي بناء <item> إلى إبطاء تدريب الجيش. هل تريد الإنهاء الآن بـ <booster>؟","<item>正在建造，无法训练军队。您是否要使用<booster>立即完成建造？","<item>正在建造，無法訓練軍隊。您是否要使用<booster>立即完成建造？","Bau von <item> verlangsamt die Armeeausbildung. Jetzt mit <booster> abschließen?","La construcción de tu <item> está ralentizando el entrenamiento de tu ejército. ¿Quieres finalizarla ahora con el <booster>?","ساختن <item>، آموزش ارتش را کند کرده‌است. آیا مایلید اکنون ساختن را با <booster> تمام کنید؟","Kohteen <item> rakentaminen hidastaa armeijan koulutusta. Haluatko viimeistellä sen nyt taikaesineellä <booster>?","La construction de <item> ralentit la formation de votre armée. Voulez-vous la terminer avec <booster> ?","Pembangunan <item> memperlambat latihan tentara. Selesaikan sekarang dengan <booster>?","Una costruzione (<item>) sta rallentando l'addestramento dell'esercito. Vuoi completarla ora con <booster>?","<item>を建設中のため、訓練速度が遅くなっています。<booster>を使って今すぐ完了させますか？","<item> 건설을 진행하면 군대 훈련이 지연됩니다. <booster>을 사용해 즉시 완료할까요?","Pembinaan <item> memperlahankan latihan tentera. Adakah anda ingin selesaikannya sekarang dengan <booster>?","Het bouwen van <item> vertraagt het trainen van je leger. Wil je de bouw nu voltooien met een <booster>?","Byggingen av <item> sinker opptreningen av armeen. Ønsker du å fullføre den nå med <booster>?","A construção de <item> está atrasando o treino das tropas. Quer terminá-la agora por <booster>?","<item>: создание замедляет тренировку армии. Хотите завершить его сейчас с помощью предмета «<booster>»?","การก่อสร้าง <item> ทำให้การฝึกกองทัพช้าลง ท่านต้องการอัปเกรดให้เสร็จทันทีด้วย <booster> หรือไม่?","<item> inşa edilmekte olduğundan birlikler yavaş eğitiliyor. İnşaatı <booster> ile hemen bitirmek ister misin?","Việc xây dựng <item> đang làm chậm quá trình huấn luyện quân đội. Bạn có muốn hoàn thành ngay với <booster> không?"
"TID_OFFER_ANNIVERSARY","Clashiversary Pack","مجموعة عيد Clash السنوي","《部落冲突》生日礼包","《部落衝突》生日特惠包","Clash-Jahrestagspaket","Lote de Clashiversario","بسته سالگرد کلش","Clashin synttäripaketti","Pack clashiversaire","Paket Ulang Tahun Clash","Pacchetto di Clashiversario","記念パック","클래시데이 팩","Pek Ulang Tahun Clash","Clash-jaardagspakket","Clashileum-pakke","Pacote do Clash-versário","Набор годовщины Clash","แพ็คครบรอบปีปะทะ","Clash Yıl Dönümü Paketi","Gói sinh nhật Clash"
"TID_CONFIRM_ALLIANCE_GAMES_DISCARD_TITLE","Trash Challenge?","هل تريد حذف التحدي؟","放弃挑战？","放棄挑戰？","Herausforderung löschen?","¿Desechar desafío?","آیا می‌خواهید چالش را حذف کنید؟","Hävitä haaste?","Rejeter le défi ?","Buang Tantangan?","Vuoi eliminare la sfida?","チャレンジを破棄しますか？","도전 과제 취소 확인","Buang Cabaran?","Uitdaging verwijderen?","Forkaste utfordring?","Descartar desafio?","Отказаться от испытания?","ทิ้งความท้าทายหรือไม่?","Mücadele bırakılsın mı?","Xóa bỏ Thử thách?"
"TID_POPUP_BOOSTER_INSTANT_UPGRADE","Use <booster> to instantly upgrade <item>?","أتريد استخدام <booster> لترقية <item> على الفور؟","使用<booster>立即升级<item>？","使用<booster>立即升級<item>？","<item> mit <booster> sofort verbessern?","¿Quieres usar tu <booster> para mejorar al instante tu <item>?","برای ارتقاء فوری <item> از <booster> استفاده شود؟","Käytetäänkö tämä <booster> kohteen <item> päivittämiseksi välittömästi?","Utiliser <booster> pour améliorer instantanément : <item> ?","Gunakan <booster> untuk meningkatkan <item> dengan seketika?","Vuoi usare \q<booster>\q per migliorare subito \q<item>\q?","<booster>を使用して<item>を今すぐアップグレードしますか？","<booster>를 사용해\n<item> 업그레이드를 즉시 완료할까요?","Guna <booster> untuk naik taraf <item> serta-merta?","Wil je een <booster> gebruiken om je <item> onmiddellijk te upgraden?","Vil du bruke <booster> til å oppgradere <item> øyeblikkelig?","Usar <booster> para melhorar instantaneamente <item>?","<item>: хотите улучшить мгновенно, использовав предмет «<booster>»?","ใช้ <booster> เพื่ออัปเกรด <item> ในทันทีหรือไม่?","<booster> kullanarak <item> yükseltmesini anında yapmak ister misin?","Bạn có muốn sử dụng <booster> để nâng cấp ngay <item> không?"
"TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_TITLE","Well Seasoned","المخضرم","月度挑战达人","周期挑戰達人","Routinier","Actitud desafiante","سرد و گرم چشیده","Kausikonkari","Chevronné","Berpengalaman","Combattente stagionato","絶好のシーズン","보람찬 시즌","Berpengalaman","Seizoenskampioen","Sesongsuveren","Lutador experiente","Боевой опыт","ฤดูกาลเปี่ยมประสบการณ์","Görmüş Geçirmiş","Mùa giải Thành công"
"TID_SKIN_THEME_ANNIVERSARY2019","Anniversary skin 2019","مظهر الذكرى السنوية 2019","2019生日限定皮肤","2019周年限定造型","Jubiläumsskin 2019","Aspecto de aniversario de 2019","جلد سالگرد 2019","Synttäriasu 2019","Skin anniversaire 2019","Kostum Ulang Tahun 2019","Skin dell'anniversario del 2019","2019年周年記念スキン","2019년 기념일 스킨","Kulit Ulang Tahun 2019","Verjaardagsskin 2019","Jubileumsskin 2019","Visual de aniversário 2019","Скин в честь годовщины — 2019","สกินครบรอบปี 2019","Yıl Dönümü görünümü 2019","Trang phục Kỷ niệm 2019"
"TID_SKIN_THEME_ANNIVERSARY2020","Anniversary skin 2020","مظهر الذكرى السنوية 2020","2020生日限定皮肤","2020周年限定造型","Jubiläumsskin 2020","Aspecto de aniversario de 2020","جلد سالگرد 2020","Synttäriasu 2020","Skin anniversaire 2020","Kostum Ulang Tahun 2020","Skin dell'anniversario del 2020","2020年周年記念スキン","2020년 기념일 스킨","Kulit Ulang Tahun 2020","Verjaardagsskin 2020","Jubileumsskin 2020","Visual de aniversário 2020","Скин в честь годовщины — 2020","สกินครบรอบปี 2020","Yıl Dönümü görünümü 2020","Trang phục Kỷ niệm 2020"
"TID_SKIN_THEME_ANNIVERSARY2021","Anniversary skin 2021","مظهر الذكرى السنوية 2021","2021生日限定皮肤","2021周年限定造型","Jubiläumsskin 2021","Aspecto de aniversario de 2021","جلد سالگرد 2021","Synttäriasu 2021","Skin anniversaire 2021","Kostum Ulang Tahun 2021","Skin dell'anniversario del 2021","2021年周年記念スキン","2021년 기념일 스킨","Kulit Ulang Tahun 2021","Verjaardagsskin 2021","Jubileumsskin 2021","Visual de aniversário 2021","Скин в честь годовщины — 2021","สกินครบรอบปี 2021","Yıl Dönümü görünümü 2021","Trang phục Kỷ niệm 2021"
"TID_TRAIN_TUTORIAL_ARROW","Hold down","ضغطة طويلة","按住不放","按住不放","Gedrückt halten","Mantener","پایین نگه دارید","Pidä pohjassa.","Appuyez","Tahan","Tieni premuto","長押し","길게 누르기","Tahan","Ingedrukt houden","Hold nede","Segurar","Удерживайте","แตะค้าง","Basılı tut","Nhấn và giữ"
"TID_XMAS_SPELL_INFO","Ask Santa for the best present there is: a hail of destruction raining down on your enemies!","اسأل بابا نويل عن أفضل هدية على الإطلاق: وابل من الدمار سيمطر على أعدائك!","向圣诞老人许个愿，让他把那些\q爆炸性\q的礼物砸向敌人的村庄吧！","向聖誕老人許個願，讓他把那些\q爆炸性\q的禮物砸向敵人的村莊吧！","Das tollste Geschenk auf deinem Wunschzettel: ein Hagel der Zerstörung, der auf deine Feinde niederregnet!","Pídele a Papá Noel el mejor regalo que existe: ¡una ráfaga de destrucción sobre tus enemigos!","از بابانوئل بهترین هدیه را درخواست کنید: یک تگرگ تخریب که روی سر دشمنانتان می‌بارد!","Pyydä pukilta maailman parasta lahjaa: vihollistesi totaalista tuhoa!","Demandez le plus beau cadeau qui soit au Père Noël : une pluie de destruction à déverser sur vos ennemis !","Minta kado terbaik dari Santa: hujan penghancuran turun di atas musuh!","Chiedi a Babbo Natale il più bel regalo del mondo: una pioggia di distruzione sui tuoi nemici!","サンタさんからの最高のプレゼントです。敵の頭上に天からの災いを降らせます！","산타에게 최고의 선물을 달라고 졸랐더니... 적에게 쏟아부을 파괴의 우박을 주셨습니다!","Minta Santa hadiah terbaik: hujan batu pemusnahan kepada musuh anda!","Vraag de Kerstman om het allerbeste cadeau dat er is: een verwoestende hagel die op het dorp van je vijand neerdaalt.","Ønsk deg noe fint fra nissen! Hva med et regn av ødeleggelse som skyller over fiendene?","Peça o melhor presente de todos ao Papai Noel: uma torrente de destruição para os inimigos!","Попросите у Санты лучший из подарков: разрушительный град на головы своих врагов!","ขอของขวัญที่ดีที่สุดจากซานต้าสิ ส่งพายุทำลายล้างซัดสาดใส่ศัตรูเลย!","Noel Baba'dan olabilecek en iyi hediyeyi iste; düşmanlarının üzerine felaketler yağsın!","Hỏi xin Ông già Noel món quà tuyệt vời nhất: một trận mưa hủy diệt trút xuống kẻ thù!"
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_11","Earn <num> Stars against opponents with Town Hall 11 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم بقاعة مدينة من المستوى 11 في المعارك متعددة اللاعبين.","在联机模式中进攻11级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻11級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 11.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 11.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 11، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 11 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 11 en combat multijoueur.","Raih <num> Bintang melawan musuh dengan Balai Kota level 11 di Pertempuran Multipemain.","Ottieni <num> stelle contro avversari con municipio di livello 11 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル11のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 11레벨을 상대로\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 11 dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 11 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 11 i flerspillerkamper.","Ganhe <num> estrelas contra inimigos com Centro da Vila 11 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 11-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 11 ในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda 11. seviye Belediye Binasına sahip rakiplere karşı <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 11 trong các Trận chiến Nhiều người chơi."
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_10","Earn <num> Stars against opponents with Town Hall 10 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم بقاعة مدينة من المستوى 10 في المعارك متعددة اللاعبين.","在联机模式中进攻10级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻10級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 10.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 10.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 10، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 10 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 10 en combat multijoueur.","Raih <num> Bintang melawan musuh dengan Balai Kota level 10 di Pertempuran Multipemain.","Ottieni <num> stelle contro avversari con municipio di livello 10 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル10のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 10레벨을 상대로\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 10 dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 10 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 10 i flerspillerkamper.","Ganhe <num> estrelas contra inimigos com Centro da Vila 10 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 10-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 10 ในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda 10. seviye Belediye Binasına sahip rakiplere karşı <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 10 trong các Trận chiến Nhiều người chơi."
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_9","Earn <num> Stars against opponents with Town Hall 9 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم بقاعة مدينة من المستوى 9 في المعارك متعددة اللاعبين.","在联机模式中进攻9级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻9級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 9.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 9.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 9، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 9 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 9 en combat multijoueur.","Raih <num> Bintang melawan musuh dengan Balai Kota level 9 di Pertempuran Multipemain.","Ottieni <num> stelle contro avversari con municipio di livello 9 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル9のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 9레벨을 상대로\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 9 dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 9 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 9 i flerspillerkamper.","Ganhe <num> estrelas contra inimigos com Centro da Vila 9 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 9-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 9 ในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda 9. seviye Belediye Binasına sahip rakiplere karşı <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 9 trong các Trận chiến Nhiều người chơi."
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_8","Earn <num> Stars against opponents with Town Hall 8 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم بقاعة مدينة من المستوى 8 في المعارك متعددة اللاعبين.","在联机模式中进攻8级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻8級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 8.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 8.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 8، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 8 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 8 en combat multijoueur.","Raih <num> Bintang melawan musuh dengan Balai Kota level 8 di Pertempuran Multipemain.","Ottieni <num> stelle contro avversari con municipio di livello 8 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル8のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 8레벨을 상대로\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 8 dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 8 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 8 i flerspillerkamper.","Ganhe <num> estrelas contra inimigos com Centro da Vila 8 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 8-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 8 ในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda 8. seviye Belediye Binasına sahip rakiplere karşı <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 8 trong các Trận chiến Nhiều người chơi."
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_7","Earn <num> Stars against opponents with Town Hall 7 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم بقاعة مدينة من المستوى 7 في المعارك متعددة اللاعبين.","在联机模式中进攻7级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻7級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 7.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 7.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 7، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 7 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 7 en combat multijoueur.","Raih <num> Bintang melawan musuh dengan Balai Kota level 7 di Pertempuran Multipemain.","Ottieni <num> stelle contro avversari con municipio di livello 7 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル7のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 7레벨을 상대로\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 7 dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 7 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 7 i flerspillerkamper.","Ganhe <num> estrelas contra inimigos com Centro da Vila 7 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 7-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 7 ในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda 7. seviye Belediye Binasına sahip rakiplere karşı <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 7 trong các Trận chiến Nhiều người chơi."
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_6","Earn <num> Stars against opponents with Town Hall 6 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم بقاعة مدينة من المستوى 6 في المعارك متعددة اللاعبين.","在联机模式中进攻6级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻6級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 6.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 6.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 6، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 6 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 6 en combat multijoueur.","Raih <num> Bintang melawan musuh dengan Balai Kota level 6 di Pertempuran Multipemain.","Ottieni <num> stelle contro avversari con municipio di livello 6 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル6のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 6레벨을 상대로\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 6 dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 6 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 6 i flerspillerkamper.","Ganhe <num> estrelas contra inimigos com Centro da Vila 6 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 6-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 6 ในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda 6. seviye Belediye Binasına sahip rakiplere karşı <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 6 trong các Trận chiến Nhiều người chơi."
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_HIGHER_TOWNHALL","Earn <num> Stars against opponents with a Townhall level higher than yours in Multiplayer Battles.","اربح <num> من النجوم ضد الخصوم بقاعة مدينة من مستوى أعلى في المعارك متعددة اللاعبين.","在联机模式中进攻大本营等级高于自己的村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻大本營等級高於自己的村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner, deren Rathaus-Level höher als deines ist.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel superior al tuyo.","در نبردهای چند نفره در برابر حریفانی که سطح تالار شهرشان از شما بالاتر است، <num> ستاره کسب کنید.","Ansaitse <num> tähteä moninpelitaisteluissa korkeammalla päärakennustasolla olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires avec un hôtel de ville au niveau supérieur au vôtre en combat multijoueur.","Raih <num> Bintang melawan musuh dengan level Balai Kota lebih tinggi di Pertempuran Multipemain.","Ottieni <num> stelle contro avversari con un municipio di livello più alto del tuo in battaglie multigiocatore.","マルチプレイで、タウンホールレベルが自分より高いプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n자신보다 높은 레벨의 마을회관을 상대로 별 <num>개 획득","Meraih <num> bintang menentang lawan dengan tahap dewan bandaran lebih tinggi daripada anda dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met een hoger stadhuislevel in multiplayergevechten.","Få <num> stjerner i flerspillerkamper mot motstandere som har et rådhusnivå som er høyere enn ditt.","Ganhe <num> estrelas contra Centros da Vila de nível maior do que o seu em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей более высокого уровня, чем у вас.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีเลเวลศาลากลางสูงกว่าท่านในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda Belediye Binası seviyesi seninkinden daha yüksek olan rakiplere karşı <num> Yıldız kazan.","Kiếm được <num> Sao khi đấu với đối thủ có cấp Nhà Chính cao hơn cấp Nhà Chính của bạn trong các Trận chiến Nhiều người chơi."
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TITANLEAGUE","Earn <num> Stars in Multiplayer Battles against opponents in Titan League.","اربح <num> من النجوم ضد خصوم دوري التيتان في المعارك متعددة اللاعبين.","在联机模式中进攻处于泰坦杯联赛的村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻處於泰坦聯盟的村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner aus der Titan-Liga.","Consigue <num> estrellas en batallas multijugador contra rivales de la Liga de Titanes.","<num>ستاره‌ رادر نبردهای چند نفره در برابر حریفانی در لیگ تیتان کسب کنید","Ansaitse <num> tähteä moninpelitaisteluissa titaaniliigassa olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires de la ligue des titans en combat multijoueur.","Raih <num> Bintang di Pertempuran Multipemain melawan musuh di Liga Titan.","Ottieni <num> stelle in multigiocatore contro avversari nella lega Titani.","マルチプレイで、タイタンリーグのプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n타이탄 리그의 상대를 공격해\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 6 dalam Liga Titan.","Verdien <num> sterren tegen tegenstanders in de titanendivisie in multiplayergevechten.","Få <num> stjerner i flerspillerkamper mot motstandere i titanligaen.","Ganhe <num> estrelas batalhas multijogador contra oponentes da liga de titãs.","Получите звезды (<num>) в многопользовательских боях против игроков из Лиги титанов.","ได้ดาว <num> ดวงในการรบแบบผู้เล่นหลายคนจากคู่ต่อสู้ในลีกยักษ์ใหญ่","Çok Oyunculu Savaşlarda Titan Ligindeki rakiplere karşı <num> Yıldız kazan.","Kiếm <num> Sao trong các Trận chiến Nhiều người chơi khi đấu với đối thủ trong Giải đấu Titan."
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_12","Earn <num> Stars against opponents with Town Hall 12 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم بقاعة مدينة من المستوى 12 في المعارك متعددة اللاعبين.","在联机模式中进攻12级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻12級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 12.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 12.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 12، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 12 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 12 en combat multijoueur.","Raih <num> Bintang melawan musuh dengan Balai Kota level 12 di Pertempuran Multipemain.","Ottieni <num> stelle contro avversari con municipio di livello 12 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル12のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 12레벨을 상대로\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 12 dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 12 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 12 i flerspillerkamper.","Ganhe <num> estrelas contra inimigos com Centro da Vila 12 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 12-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 12 ในการรบแบบผู้เล่นหลายคน","12. Belediye Binasıyla Çok Oyunculu Savaşlarda rakiplere karşı <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 12 trong các Trận chiến Nhiều người chơi."
"TID_MAX_DPS","Max damage per second: <number>","أقصى ضرر في الثانية: <number>","每秒最大伤害值：<number>","每秒最高傷害：<number>","Max. Schaden pro Sekunde: <number>","Daño máximo por segundo: <number>","حداکثر آسیب در هر ثانیه: <number>","Enimmäistuho sekuntia kohden: <number>","Dégâts max. par seconde : <number>","Kerusakan maks. per detik: <number>","Danno massimo al secondo: <number>","最大ダメージ（毎秒）：<number>","초당 최대 피해: <number>","Kerosakan maksimum setiap saat: <number>","Max. schade per seconde: <number>","Maksimal skade per sekund: <number>","Dano máximo por segundo: <number>","Макс. урон в секунду: <number>","ความเสียหายสูงสุดต่อวินาที: <number>","Saniye başına maks hasar: <number>","Sát thương tối đa mỗi giây: <number>"
"TID_CANCEL_BOOST_CONFIRMATION_TITLE","End Boost?","إنهاء التسريع؟","取消提速？","結束加速效果？","Schub beenden?","Terminar aceleración","تقویت تمام شود؟","Lopeta tehostus?","Mettre fin à l'accélération ?","Akhiri Penambah?","Vuoi terminare il potenziamento?","生産アップを終了しますか？","가속 종료","Tamatkan Galakan?","Boost beëindigen?","Avbryte forsterkning?","Parar aceleração?","Отменить ускорение?","จบการบูสต์หรือไม่?","Hızlandırmayı sonlandıralım mı?","Kết thúc cường hóa?"
